date,a
1/1/2014 13:00:00,5.0000000e-002
1/1/2014 13:00:01,6.6100000e-001
1/1/2014 13:00:02,9.9700000e-001
1/1/2014 13:00:03,1.0900000e+000
1/1/2014 13:00:04,1.1300000e+000
1/1/2014 13:00:05,1.1550000e+000
1/1/2014 13:00:06,1.1770000e+000
1/1/2014 13:00:07,1.1860000e+000
1/1/2014 13:00:08,1.1930000e+000
1/1/2014 13:00:09,1.2020000e+000
1/1/2014 13:00:10,1.2020000e+000
1/1/2014 13:00:11,1.2080000e+000
1/1/2014 13:00:12,1.2020000e+000
1/1/2014 13:00:13,1.2170000e+000
1/1/2014 13:00:14,1.2170000e+000
1/1/2014 13:00:15,1.2270000e+000
1/1/2014 13:00:16,1.2330000e+000
1/1/2014 13:00:17,1.2580000e+000
1/1/2014 13:00:18,1.2760000e+000
1/1/2014 13:00:19,1.3110000e+000
1/1/2014 13:00:20,1.3230000e+000
1/1/2014 13:00:21,1.3510000e+000
1/1/2014 13:00:22,1.3570000e+000
1/1/2014 13:00:23,1.3480000e+000
1/1/2014 13:00:24,1.3170000e+000
1/1/2014 13:00:25,1.2860000e+000
1/1/2014 13:00:26,1.2420000e+000
1/1/2014 13:00:27,1.2080000e+000
1/1/2014 13:00:28,1.1610000e+000
1/1/2014 13:00:29,1.1300000e+000
1/1/2014 13:00:30,1.1060000e+000
1/1/2014 13:00:31,1.0810000e+000
1/1/2014 13:00:32,1.0710000e+000
1/1/2014 13:00:33,1.0620000e+000
1/1/2014 13:00:34,1.0560000e+000
1/1/2014 13:00:35,1.0470000e+000
1/1/2014 13:00:36,1.0560000e+000
1/1/2014 13:00:37,1.0370000e+000
1/1/2014 13:00:38,1.0370000e+000
1/1/2014 13:00:39,1.0310000e+000
1/1/2014 13:00:40,1.0370000e+000
1/1/2014 13:00:41,1.0310000e+000
1/1/2014 13:00:42,1.0370000e+000
1/1/2014 13:00:43,1.0310000e+000
1/1/2014 13:00:44,1.0370000e+000
1/1/2014 13:00:45,1.0500000e+000
1/1/2014 13:00:46,1.0620000e+000
1/1/2014 13:00:47,1.0710000e+000
1/1/2014 13:00:48,1.0810000e+000
1/1/2014 13:00:49,1.0560000e+000
1/1/2014 13:00:50,1.0400000e+000
1/1/2014 13:00:51,1.0250000e+000
1/1/2014 13:00:52,1.0120000e+000
1/1/2014 13:00:53,9.8100000e-001
1/1/2014 13:00:54,9.7200000e-001
1/1/2014 13:00:55,9.9100000e-001
1/1/2014 13:00:56,9.8800000e-001
1/1/2014 13:00:57,9.8800000e-001
1/1/2014 13:00:58,9.9700000e-001
1/1/2014 13:00:59,1.0000000e+000
1/1/2014 13:01:00,9.8800000e-001
1/1/2014 13:01:01,9.9700000e-001
1/1/2014 13:01:02,9.8800000e-001
1/1/2014 13:01:03,9.5700000e-001
1/1/2014 13:01:04,9.1000000e-001
1/1/2014 13:01:05,6.0600000e-001
1/1/2014 13:01:06,2.4500000e-001
1/1/2014 13:01:07,-1.8000000e-001
1/1/2014 13:01:08,4.3000000e-002
1/1/2014 13:01:09,6.2400000e-001
1/1/2014 13:01:10,9.5000000e-001
1/1/2014 13:01:11,1.0710000e+000
1/1/2014 13:01:12,1.1060000e+000
1/1/2014 13:01:13,1.1460000e+000
1/1/2014 13:01:14,1.1550000e+000
1/1/2014 13:01:15,1.1710000e+000
1/1/2014 13:01:16,1.1770000e+000
1/1/2014 13:01:17,1.1860000e+000
1/1/2014 13:01:18,1.1960000e+000
1/1/2014 13:01:19,1.2020000e+000
1/1/2014 13:01:20,1.2080000e+000
1/1/2014 13:01:21,1.1960000e+000
1/1/2014 13:01:22,1.2110000e+000
1/1/2014 13:01:23,1.2360000e+000
1/1/2014 13:01:24,1.2700000e+000
1/1/2014 13:01:25,1.2610000e+000
1/1/2014 13:01:26,1.2610000e+000
1/1/2014 13:01:27,1.2860000e+000
1/1/2014 13:01:28,1.3230000e+000
1/1/2014 13:01:29,1.3350000e+000
1/1/2014 13:01:30,1.3910000e+000
1/1/2014 13:01:31,1.4470000e+000
1/1/2014 13:01:32,1.4320000e+000
1/1/2014 13:01:33,1.3980000e+000
1/1/2014 13:01:34,1.2760000e+000
1/1/2014 13:01:35,1.1610000e+000
1/1/2014 13:01:36,1.1060000e+000
1/1/2014 13:01:37,1.0810000e+000
1/1/2014 13:01:38,1.0710000e+000
1/1/2014 13:01:39,1.0500000e+000
1/1/2014 13:01:40,1.0400000e+000
